Ano;Logradouro;Delito;Total
2020;Estrada Da Cachamorra;Lesão corporal culposa - trânsito;14
2020;Estrada Da Gavea;Acidente de trânsito;10
2020;Estrada Da Gavea;Lesão corporal culposa - trânsito;14
2020;Estrada Da Ilha;Acidente de trânsito;10
2020;Estrada Da Matriz;Acidente de trânsito;12
2020;Estrada Da Matriz;Lesão corporal culposa - trânsito;13
2020;Estrada Da Paciencia;Acidente de trânsito;14
2020;Estrada Da Paciencia;Lesão corporal culposa - trânsito;14
2020;Estrada Da Pedra;Acidente de trânsito;38
2020;Estrada Da Pedra;Lesão corporal culposa - trânsito;46
2020;Estrada Da Posse;Acidente de trânsito;21
